,,,,,,
Team,TS%,NetRtg,Mod OPP EFG%,NET Shooting%,Predictor,Made the playoffs in 2020?
Hawks,55.4,-7.4,-54.3,1.1,-6.3,No
Celtics,57,6.3,-50.9,6.1,12.4,Yes
Nets,55.4,-0.5,-51.1,4.3,3.8,Yes
Hornets,53.9,-7,-54.6,-0.7,-7.7,No
Bulls,54.7,-3.1,-54.6,0.1,-3,No
Cavaliers,55.3,-7.9,-56,-0.7,-8.6,No
Mavericks,58.1,4.8,-52.5,5.6,10.4,Yes
Nuggets,56.7,2.2,-53.3,3.4,5.6,Yes
Pistons,56.1,-3.5,-54.1,2,-1.5,No
Warriors,54,-8.6,-55.3,-1.3,-9.9,No
Rockets,57.8,2.7,-52.9,4.9,7.6,Yes
Pacers,56.5,1.9,-51.1,5.4,7.3,Yes
Clippers,57.7,6.3,-50.6,7.1,13.4,Yes
Lakers,57.3,5.6,-51.5,5.8,11.4,Yes
Grizzlies,56.1,-1,-52.1,4,3,No
Heat,58.7,2.7,-52.3,6.4,9.1,Yes
Bucks,58.3,9.4,-48.9,9.4,18.8,Yes
Timberwolves,55.1,-4,-54.1,1,-3,No
Pelicans,56.8,-1.3,-53.2,3.6,2.3,No
Knicks,53.1,-6.5,-54.1,-1,-7.5,No
Thunder,57.3,2.1,-51.8,5.5,7.6,Yes
Magic,54.4,-1.3,-53.5,0.9,-0.4,Yes
76ers,56.6,2.3,-52.3,4.3,6.6,Yes
Suns,57.6,0.5,-53.9,3.7,4.2,No
Trail Blazers,57,-1.1,-53,4,2.9,Yes
Kings,56.6,-1.9,-54.3,2.3,0.4,No
Spurs,57.2,-0.9,-54.2,3,2.1,No
Raptors,57.4,6.1,-50.2,7.2,13.3,Yes
Jazz,58.5,2.5,-51.8,6.7,9.2,Yes
Wizards,56.2,-4.5,-55.8,0.4,-4.1,No
